unitid,"cipcode",awlevel,"xcrace01",crace01,"xcrace02",crace02,"xcrace03",crace03,"xcrace04",crace04,"xcrace05",crace05,"xcrace06",crace06,"xcrace07",crace07,"xcrace08",crace08,"xcrace09",crace09,"xcrace10",crace10,"xcrace11",crace11,"xcrace12",crace12,"xcrace13",crace13,"xcrace14",crace14,"xcrace15",crace15,"xcrace16",crace16
100636,"52.0202",3,"Z",0,"Z",0,"R",13,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",43,"R",16,"R",4,"R",2,"R",60,"R",24
100636,"52.0203",3,"Z",0,"Z",0,"R",92,"R",69,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",227,"R",73,"R",13,"R",13,"R",332,"R",155
100636,"52.0204",3,"Z",0,"Z",0,"R",80,"R",71,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",107,"R",118,"R",15,"R",17,"R",203,"R",206
100636,"52.0302",3,"Z",0,"Z",0,"R",30,"R",25,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",86,"R",51,"R",5,"R",5,"R",121,"R",81
100636,"52.0902",3,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0
100636,"52.1001",3,"Z",0,"Z",0,"R",96,"R",55,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",346,"R",131,"R",21,"R",11,"R",464,"R",198
100636,"52.1201",3,"Z",0,"Z",0,"R",76,"R",43,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",349,"R",102,"R",25,"R",7,"R",450,"R",152
100636,"99.0000",3,"Z",0,"Z",0,"R",1267,"R",529,"R",9,"R",4,"R",10,"R",2,"Z",0,"Z",0,"R",7046,"R",1569,"R",428,"R",145,"R",8760,"R",2249
100654,"02.0201",5,"R",2,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2
100654,"02.0301",5,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6
100654,"02.0499",5,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1
100654,"02.9999",5,"Z",0,"Z",0,"R",10,"R",10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",11,"R",11
100654,"03.0499",5,"Z",0,"Z",0,"R",3,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"Z",0,"R",5,"R",5
100654,"04.0301",5,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",4,"R",2
100654,"10.0104",5,"Z",0,"R",1,"R",6,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",7
100654,"11.0101",5,"Z",0,"Z",0,"R",8,"R",8,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",10,"R",9
100654,"13.1001",5,"R",1,"Z",0,"Z",0,"R",9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"R",11
100654,"13.1012",5,"Z",0,"Z",0,"R",1,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",1,"R",9
100654,"13.1202",5,"Z",0,"Z",0,"R",12,"R",29,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"Z",0,"Z",0,"R",12,"R",36
100654,"13.1204",5,"Z",0,"Z",0,"R",3,"R",10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",3,"R",12
100654,"13.1205",5,"Z",0,"Z",0,"R",19,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",23,"R",13
100654,"13.1302",5,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2
100654,"13.1312",5,"Z",0,"Z",0,"R",3,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",2
100654,"13.1314",5,"Z",0,"Z",0,"R",10,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",11,"R",1
100654,"14.0801",5,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",1
100654,"14.1001",5,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",4,"R",1
100654,"14.1901",5,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100654,"15.0201",5,"R",4,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",1
100654,"15.0399",5,"R",15,"Z",0,"R",5,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",20,"R",5
100654,"15.0603",5,"Z",0,"Z",0,"R",3,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",2
100654,"15.0899",5,"Z",0,"Z",0,"R",23,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",23,"R",1
100654,"19.0101",5,"Z",0,"Z",0,"R",2,"R",14,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",14
100654,"23.0101",5,"Z",0,"Z",0,"R",1,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",4
100654,"26.0101",5,"R",1,"Z",0,"R",10,"R",25,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",25
100654,"27.0101",5,"Z",0,"Z",0,"R",3,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",8
100654,"40.0501",5,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5
100654,"40.0801",5,"Z",0,"Z",0,"R",3,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",2
100654,"42.0101",5,"Z",0,"Z",0,"R",6,"R",21,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",7,"R",21
100654,"44.0701",5,"Z",0,"Z",0,"R",1,"R",18,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",4,"Z",0,"Z",0,"R",2,"R",22
100654,"45.0801",5,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0
100654,"45.1001",5,"R",1,"Z",0,"R",3,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",5,"R",8
100654,"45.1101",5,"Z",0,"Z",0,"R",8,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",2
100654,"50.0402",5,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0
100654,"52.0101",5,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2
100654,"52.0201",5,"Z",0,"R",2,"R",27,"R",43,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",28,"R",45
100654,"52.0204",5,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5
100654,"52.0301",5,"Z",0,"Z",0,"R",5,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",4
100654,"52.0801",5,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",4,"Z",0,"Z",0,"R",4,"R",4
100654,"99.0000",5,"R",24,"R",3,"R",190,"R",280,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",17,"R",28,"Z",0,"R",1,"R",233,"R",312
100654,"01.0101",7,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2
100654,"01.0102",7,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100654,"02.0301",7,"Z",0,"R",1,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",3
100654,"02.0499",7,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2
100654,"04.0301",7,"R",1,"R",1,"R",9,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",11,"R",5
100654,"04.9999",7,"R",1,"Z",0,"R",2,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",3
100654,"11.0101",7,"R",10,"R",4,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",12,"R",6
100654,"13.1001",7,"R",1,"Z",0,"R",6,"R",22,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"R",9,"R",24
100654,"13.1202",7,"Z",0,"Z",0,"R",6,"R",19,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",21,"Z",0,"Z",0,"R",8,"R",40
100654,"13.1204",7,"Z",0,"R",1,"Z",0,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"Z",0,"Z",0,"Z",0,"R",20
100654,"13.1205",7,"Z",0,"Z",0,"R",5,"R",10,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",18,"Z",0,"Z",0,"R",16,"R",28
100654,"13.1302",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",2
100654,"13.1312",7,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0
100654,"13.1314",7,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",3,"R",3
100654,"15.0603",7,"Z",0,"Z",0,"R",10,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",15,"R",2
100654,"19.0101",7,"Z",0,"R",1,"R",1,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"R",1,"R",14
100654,"26.0101",7,"Z",0,"Z",0,"R",1,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",2,"R",7
100654,"40.0801",7,"Z",0,"R",1,"R",2,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",5
100654,"42.0201",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",7,"Z",0,"Z",0,"R",1,"R",7
100654,"42.0601",7,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",19,"Z",0,"Z",0,"R",5,"R",22
100654,"42.0901",7,"Z",0,"Z",0,"R",1,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",5
100654,"42.1701",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",2
100654,"44.0701",7,"Z",0,"Z",0,"R",1,"R",9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",8,"Z",0,"Z",0,"R",3,"R",17
100654,"51.0203",7,"Z",0,"R",2,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",9
100654,"52.0201",7,"R",10,"R",4,"R",20,"R",39,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"R",31,"R",47
100654,"52.0601",7,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",4
100654,"99.0000",7,"R",23,"R",16,"R",76,"R",157,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",31,"R",106,"Z",0,"Z",0,"R",131,"R",280
100654,"13.0401",8,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100654,"13.1202",8,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3
100654,"13.1204",8,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4
100654,"13.1205",8,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",5,"R",1
